"Order Attributes","Order Attributes"
"--no value--","--no value--"
"Custom Attributes","Custom Attributes"
"Show On Checkout Step","Show On Checkout Step"
"1. Billing Information","1. Billing Information"
"2. Shipping Information","2. Shipping Information"
"3. Shipping Method","3. Shipping Method"
"4. Payment Information","4. Payment Information"
"5. Order Review","5. Order Review"
"Display Sorting Order","Display Sorting Order"
"Numeric, used in front-end to sort attributes","Numeric, used in front-end to sort attributes"
"Attribute Code","Attribute Code"
"Attribute Label","Attribute Label"
"Visible","Visible"
"Manage Order Attributes","Manage Order Attributes"
"Include Amasty Order Attributes into confirmation e-mail","Include Amasty Order Attributes into confirmation e-mail"
"Checkout Settings","Checkout Settings"
"Display attribute values in the progress sidebar","Display attribute values in the progress sidebar"
"PDF Documents","PDF Documents"
"Include order attributes into shipment (packing slip)","Include order attributes into shipment (packing slip)"
"Include order attributes into invoice","Include order attributes into invoice"
"Dependent Drop-Downs","Dependent Drop-Downs"
"Use AJAX for dependent drop-downs","Use AJAX for dependent drop-downs"
"Edit Order Attributes","Edit Order Attributes"
"An error occurred while updating the order attributes.","An error occurred while updating the order attributes."
"Edit Order Attribute","Edit Order Attribute"
"New Order Attribute","New Order Attribute"
"Order attribute was successfully saved","Order attribute was successfully saved"
"Order attribute was successfully deleted","Order attribute was successfully deleted"
"Loading...","Loading..."
"Add New Attribute","Add New Attribute"
"Required","Required"
"Yes","Yes"
"No","No"
"Include Into PDFs","Include Into PDFs"
"Apply Default","Apply Default"
"Show On Grid","Show On Grid"
"Position","Position"
"Attribute Configuration","Attribute Configuration"
"Save Entered Value For Future Checkout","Save Entered Value For Future Checkout"
"Show on Admin Grids","Show on Admin Grids"
"Include Into PDF Documents","Include Into PDF Documents"
"Automatically Apply Default Value","Automatically Apply Default Value"
"If set to `Yes`, the default value will be automatically applied for each order if attribute value is not entered or not visible at the frontend.","If set to `Yes`, the default value will be automatically applied for each order if attribute value is not entered or not visible at the frontend."
"Additional Information:","Additional Information:"
"No attributes for this order","No attributes for this order"
"Additional Information","Additional Information"
"No attributes for this order","No attributes for this order"
"Linked Drop-Downs Configuration","Linked Drop-Downs Configuration"
"Parent Drop-Down Element","Parent Drop-Down Element"
"-- Do not use related drop-downs --","-- Do not use related drop-downs --"
"You should save current attribute after changing this field to be able to assign related options.","You should save current attribute after changing this field to be able to assign related options."
"Parent Option","Parent Option"
"Include Into HTML Print-out","Include Into HTML Print-out"
"Order confirmation HTML print-out.","Order confirmation HTML print-out."
"Include Amasty Order Attributes into shipment e-mail","Include Amasty Order Attributes into shipment e-mail"
