"Get Directions","Get Directions"
"Show on Google Map","Show on Google Map"
"From","From"
"No store located","No store located"
"You are here","You are here"
"The closest store is","The closest store is"
"No result found.","No result found."
"Unable to find your location","Unable to find your location"
"Distance calculation failed","Distance calculation failed"
"show my location","show my location"
"change my location","change my location"
"Your location","Your location"
"Find me","Find me"
"Enter your location (city, address, zipcode...)","Enter your location (city, address, zipcode...)"
"Set a new location","Set a new location"
"Your directions","Your directions"
"Close","Close"
"Print","Print"
"Searching your location","Searching your location"
"All our store locations","All our store locations"
"Select a country :","Select a country"
"All countries","All countries"
"The nearest store is","The nearest store is"
